Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,city,age,python_yn,html_yn,css_yn,aws_yn,django_yn,postgresql_yn
Full Stack Python Business Systems Developer - BLM,CA$77K-CA$91K (Glassdoor est.),"Noramtec Consultants, on behalf of our Montreal client, has an immediate need for a Full Stack Python Business Systems Developer. This should be a Long Term contract.
General Duties and Responsibilities: *
This position will be approximately 60% application development, 20% management and teamwork on a critical global project, and 20% application support

Responsible for:

· Design, maintenance and operation of software application for department and global projects

· Support and development of local and global corporate procedures and processes

· Managing the projects such that they are completed within budget an schedule

· Supporting engine testing involving both production and development type engines

· Proper overall function and maintenance of the assigned equipment and systems

· Responsible for high reliability and maintainability of existing and new systems

· Maintaining test data and application integrity and availability

· Responsible for updating documentation

· Organizing and supporting collaborative types of design review sessions
General Requirements: *
· Bachelor degree in Computer, Mechanical, or Electrical Engineering

· 4 years of application development experience working with the following:

· Software development – especially front end development using Python, Django and Celery as well as Virtual Studio, MS SQL Svr (an asset)

· Experience with databases and web based applications – MYSQL, nginx

· Knowledge of IT Systems – networks, servers and virtualisation

· Knowledge of process development and project management

· Team player

· Bilingual (English and French) communication skills
_Qualified candidates_* _must be legally entitled to work in Canada and able to able to pass Controlled Goods verification._
_Interested applicants_ send in your MSWord resume and contact information *_with the title of the position in the subject line. _*

Please indicate how quickly you would be available to start and also what your salary expectations are.

I thank all applicants for responding.

Only those Candidates chosen for an interview will be contacted. All other resumes will be retained for future consideration.

MON1

Job Types: Full-time, Contract

Salary: $80,000.00-$95,000.00 per year

Schedule:
8 hour shift
Experience:
IT Systems: 4 years (Preferred)
Full stack development: 2 years (Preferred)
software development: 4 years (Required)
Django: 2 years (Preferred)
Python: 2 years (Preferred)
Education:
Bachelor's Degree (Required)
Location:
Montréal, QC (Required)
Work remotely:
No",4.1,"Noramtec Consultants
4.1",Montreal,-1,201 to 500 Employees,1964,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,77,91,84.0,"Noramtec Consultants
",Montreal,56,1,0,0,0,1,0
Senior Developer (Python/NoSQL),CA$77K-CA$91K (Glassdoor est.),"What you’re looking for: Would you like to work in a fast growing, profitable company where you’ll be designing and developing features of a web product in a startup environment? Would you like to work for a positive, progressive company that appreciates your hard work, values your contribution, and allows you to have fun and do meaningful work? If so, SilkStart has the opportunity you've been seeking!
What we're looking for: A highly motivated and results-oriented developer with a passion for the full stack of our software solution who is looking to learn and grow.
The Role: The Senior Developer position offers the opportunity to create software solutions - including analyzing solutions, designing and crafting the software, testing, estimating work, and investigating and resolving problems.
What you’ll be doing:
• leading the support, design and development of new product features and platform functionality
• Researching and suggesting new technologies
• Proactively identifying gaps and continuously working to improve the customer experience
• Contributing to our learning organization focusing on tools, trends, technologies, and frameworks

Must Haves
• 5+ years of progressive experience in software design, architecture and agile development – SaaS / Amazon environment preferred
• Extensive experience with templating languages, especially Python (we also use MAKO & Underscore)
• Experience with MongoDB as well as relational databases
• Experience with all phases of software product development in a team environment
• The ability to handle multiple competing priorities in a fast-paced environment
• Experience developing browser-based user interfaces -- HMTL, CSS (SASS or LESS), JavaScript (and frameworks like backbone or Jquery)
• Problem-solving, analytical and troubleshooting skills
• Bachelor's degree (or higher) in Computer Science
Bonus Qualifications
• Experience with a variety of server-side technologies/languages (Python, Pylons, Celery, RabbitMQ, NGINX, and Ansible to name a few)
• Experience with AWS
• Familiarity with automated testing tools
• Experience with agile methodologies such as Test Driven Development and Scrum
• Experience/knowledge of continuous integration
• Knowledge of payment gateways like Stripe, PayPal, or Bambora
• Experience with custom CMS design and development
• Experience with server automation and Ansible
• Experience working with and building web services
Must Have Attributes:
Effective Communication. You’re comfortable communicating with both the business and tech team.
Results Orientation. Your first interest is the business results – getting things done that matter to the customer. You are willing to roll up your sleeves and do what needs to be done. This is not a ‘that’s not my job’ or ‘I don’t know how to do that’ environment. We’re a small, entrepreneurial team that all pitch in to get the job done.
Customer Obsession. You always think about the customer and how your work impacts them.
You Learn Quickly. You get up to speed quickly with new technologies and add value.
Desire to Learn and Grow. You’re a lifelong learner eager to take on new challenges and grow.
Self Direction. You’re independently driven and resourceful enough to figure things out and deliver results once the direction is clear.
Hustle. You like a fast-paced environment.
Great Decisions Making. Your approach to problems and potential solutions leads you to make great evidence-based decisions.
Job Types: Full-time, Permanent

COMPENSATION – a comprehensive and competitive benefits plan, including a share appreciation rights plan will be provided to the selected candidate

Job Types: Full-time, Permanent

Salary: $64,160.00-$130,455.00 per year

Benefits:
Casual dress
Dental care
Disability insurance
Extended health care
Life insurance
Vision care
Schedule:
8 hour shift
Monday to Friday
Work remotely:
No",3.8,"SilkStart Technology, Inc.
3.8",Vancouver,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,77,91,84.0,"SilkStart Technology, Inc.
",Vancouver,-1,1,0,1,1,0,0
Big Data / Scala Developer,CA$77K-CA$91K (Glassdoor est.),"We have an exciting opportunity for the right people – are you a Senior Developer with experience in Big Data, Scala and Spark? We are looking for you! You will be working with one of the top Canadian banks and have an integral role in their Big Data strategy
5+ years of object oriented or functional programming experience with Java/Scala
Expertise with relational and non-relational databases. E.g. SQL Server, Oracle, Hadoop, Hive, Spark,
Working experience in big data using Hadoop, and related concepts and technologies.
DevOps experience with continuous integration/delivery best-practices, technologies and tools such as GitHub, Maven, SBT, Jenkins, JIRA, Confluence
Post-secondary degree or diploma in Computer Science, Engineering or Mathematics
You are team player, technical mentor, keen to coach others and share ideas with your team
You are exceptional communicator able to articulate technical issues in plain language
You have Financial Industry experience
You have worked with AML (Anti-Money Laundering)
Job Types: Full-time, Contract

Schedule:
Monday to Friday
Experience:
Scala / Spark: 5 years (Required)
Big Data: 5 years (Required)
Banking / Finance: 3 years (Preferred)
Location:
Greater Toronto Area, ON (Required)
Work remotely:
Temporarily due to COVID-19",-1.0,Allevar,Toronto,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,77,91,84.0,Allevar,Toronto,-1,0,0,0,0,0,0
"Systems Developer, Quantitative Equity",CA$77K-CA$91K (Glassdoor est.),"Systems Developer, Quantitative Equity
Connor, Clark & Lunn Investment Management Ltd.
Vancouver, BC

We are a special software team embedded in a top performing quantitative equity fund that manages $20.4 billion in financial assets. This is a fantastic opportunity in the exciting intersection of finance and technology where investment decisions are made using technology. Quantitative equity funds use programmed investment strategies and as a result, our developers are crucial to its success.

The team is headquartered and deeply rooted in West Coast Vancouver. We place high value on maintaining an entrepreneurial spirit and creating a culture where each of us has opportunities to succeed.

What You’ll Be Doing

Developers play an essential role through innovative technologies: machine learning, cloud computing, optimization engines, non-traditional high performance databases, custom applications and data visualization. You own the entire software life cycle:
Collaborate with portfolio managers, analysts and researchers to analyze interesting financial problems.
Design, plan and implement solutions in an entrepreneurial spirit.
Keep investment systems running smoothly through enhancements and support.
About You
Programming Knowledge – you have an undergraduate, graduate, or post-graduate degree in a computer-related field OR exceptional programming skills gained through your work experience.
Deeply Analytical – you possess an analytical mind and enjoy mental challenges. An ability to perform deep thoughtful analysis is required for this role.
Passion for Technology – we work with several programming languages (Kdb+/Q, Python, R, Java, C#, Angular/Typescript) and upfront knowledge is not required. If you are passionate about technology, learning new languages and concepts is natural and fun.
Collaborative Communication – you have a collaborative spirit that helps you to work well with others and you communicate effectively.
Interest in Investment Management – this is key. Your interest will help you learn about our complex domain.
About Us

Connor, Clark & Lunn Financial Group provides investment management services to individuals, advisors, pension plans, institutional investors and foundations. The firm has offices across Canada and in New York, Chicago and London, England and through its affiliated investment managers is responsible for the investment of approximately $79 billion in financial assets.

We are looking for junior/intermediate/senior developers.

To apply for this position, submit your resume and cover letter.

We thank all applicants in advance for their interest, but only those candidates shortlisted for interviews will be contacted. No telephone calls or recruitment agencies will be accepted.",4.3,"Connor, Clark & Lunn Financial Group
4.3",Vancouver,-1,201 to 500 Employees,1982,Company - Private,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),-1,0,0,77,91,84.0,"Connor, Clark & Lunn Financial Group
",Vancouver,38,1,0,0,0,0,0
"Full-Stack Developer - RACE21, Vancouver",CA$77K-CA$91K (Glassdoor est.),"Location: Vancouver, BC, CA

The Full-Stack Developer, RACE21™ is responsible for shaping and implementing strategic products to ensure Teck stays on the leading edge of technology. They will contribute across the technology stack, from database and DevOps infrastructure that supports continuous deployment, to web and native applications. RACE21™ Full-Stack Developers have a passion for software development and an appetite for continual learning and working to share and advance the high-quality practices and standards.

There are multiple positions for Full-Stack Developer.

Responsibilities:
Be a courageous safety leader, adhere to and sponsor safety and environmental rules and procedures
Use agile practices and a variety of software development technologies to rapidly develop creative and efficient solutions that deliver a great end-user experience
Collaborate with other agile team members to craft clear user stories, design tests for prototypes and products, and continuously deliver product enhancements
Ensure the team's code follows the most up-to-date coding practices and industry standards to advance quality, maintainability, performance, and security
Collaboratively challenge conventions and ideas to help the team avoid pitfalls and inefficient solutions
Qualifications:
Computer Science degree or equivalent education and experience
Highly developed skills in Python and/or Node.js
Expertise with web frameworks such as React, Angular, or Vue
Infrastructure knowledge including RESTful API frameworks (Flask, Express.Js) and Single Sign On
Experience with TDD and unit and functional/acceptance test frameworks and automation technologies, such as unittest, py.test, Mocha, Jest, Selenium
Experience developing data-intensive applications in a cloud-based environment
Strong understanding of Agile methodologies and professional experience on an agile team, including pair programming
Keen collaborator and clear communicator, responsive to service needs and operational demands
Passionate about the impact of emerging technologies and learning new skills and ideas
Self-starter who embraces a culture of transparency and trust, and thrives in an environment of rapid change and growth
At Teck, we value diversity. Our teams work collaboratively and respect each person’s unique perspective and contribution.

Qualified applicants interested in joining a dynamic team are encouraged to submit a resume and cover letter electronically.

We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted. Your application to this posting is deemed to be your consent to the collection, use and necessary disclosure of personal information for the purposes of recruitment. Teck respects the privacy of all applicants and the confidentiality of personal information.

Teck is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper, steelmaking coal, zinc and energy. Headquartered in Vancouver, Canada, its shares are listed on the Toronto Stock Exchange under the symbols TECK.A and TECK.B and the New York Stock Exchange under the symbol TECK.

The pursuit of sustainability guides Teck’s approach to business. Teck is building partnerships and capacity to confront sustainability challenges within the regions in which it operates and at the global level. In 2019, Teck was named to the Dow Jones Sustainability World Index (DJSI) for the tenth straight year, indicating that Teck’s sustainability practices rank in the top 10 per cent of the world’s 2,500 largest public companies in the S&P Global Broad Market Index.

Learn more about Teck at www.teck.com or follow @TeckResources

Job Type: Full-time",3.9,"Teck Resources Limited
3.9",British Columbia,-1,5001 to 10000 Employees,-1,Company - Public,Mining,Mining & Metals,$5 to $10 billion (USD),-1,0,0,77,91,84.0,"Teck Resources Limited
",British Columbia,-1,1,0,0,0,0,0
Back-End Developer,CA$77K-CA$91K (Glassdoor est.),"Join our Winning Team as a Back-End Developer

When was the last time you bragged about where you work? At CARFAX, we do it every day. Why? Because we’re proud to work for a company with a strong mission and trusted brand. We’re proud to work with people who care about what they do and work hard every day to deliver their best. We’ve created the type of company culture where the term, “work- hard play- hard” is taken to new heights. Even today, while working remotely, our culture is strong and our team is connected!

As a Back-End Developer you will be a part of the Consumer Experience Development team. The Consumer Experience Development team has full responsibility for our online presence, and that is a very big deal.

As a Back-End Developer you will:
Work in a dynamic, agile, team environment developing awesome new applications
Collaborate closely with other developers, front-end designers, stakeholders and internal customers
Promote great software design and quality
Innovate new ideas to evolve our applications and processes
To be considered for this role, you will need:
Object oriented experience with languages such as Java, Golang, Python or C#; we primarily use Java
Experience building web services using REST or GraphQL
Relational and NoSql database systems such as MySql, Mongo, Hadoop or Elasticsearch
Experience with AWS environments
Continuous Integration / Delivery
Experience with modern web frameworks such as Spring Boot / MVC or Node.js
Familiarity with modern JavaScript frameworks such as React, Angular, Webpack and/or Redux
Experience with Testing frameworks like Spock, JUnit or JEST",4.4,"CARFAX
4.4",London,-1,1001 to 5000 Employees,1984,Subsidiary or Business Segment,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,91,84.0,"CARFAX
",London,36,1,0,0,1,0,0
Sr. Java Full Stack Developer (5+ years,CA$77K-CA$91K (Glassdoor est.),"Full Stack Developer (Calgary, Canada)

Do you want to save lives while creating meaningful solutions? Blackline Safety is the place for you.

Blackline Safety is a world leader in the development and manufacturing of IoT connected safety products — we offer the broadest and most complete portfolio in the industry. We monitor personnel working alone in populated areas, indoors within complex facilities, and employees operating in the most remote reaches of our planet. Our purpose and promise to our customers of providing the technology that keeps workers safe informs our overall product development.

Our products are used to keep people safe in the event of falls, missed check-ins, man-downs, and exposure to explosive or toxic gas. Our products save lives. Our design, marketing, customer care, sales and production are all performed in-house at our headquarters in Ramsay, Calgary.

Our fast-growing company is currently hiring experienced Full Stack Developer to help build the next generation of new features and functionality for our highly available, highly scalable safety monitoring platform built on the newest stack.

Our solutions are built in the Well architected framework and the technologies include Angular 10, Amazon Web Services and all they offer, IoT, RDS MySQL, RedShift, Spark, EMR, Kinesis (Streams, Firehose, Analytics), Lambda, Elasticsearch, Aurora, Docker, DataDog, CD/CI pipelines on CodeBuilder, ELK stack, CloudFormation, ALP, Python, Java, and more. We use DDD, Emerging Patterns and anything else you want to try. You will receive a top-notch dev machine running on Linux.

We are looking for someone:

· With serious desire to build great Well Architected IoT & cloud software

· That takes ownership of the solution and deliver

· With a team mindset, highly collaborative and enjoys a fast-paced, team environment

· That enjoys learning new technologies, concepts, and areas of business

· Champions the causes of uptime, reliability, compliance, and security.

To be considered, you must have the following:

· A degree in computer science, software engineering or similar education

· Proven and strong knowledge of Docker, Linux, and familiarity with AWS

· Experience developing scalable web applications using Java or Python in a SaaS IoT environment dealing with real-time streaming data, web portals, and analytics

· Understanding of modern front-end frameworks and familiar with microservice architecture

· Capability and enthusiasm to learn new technologies

· Knowledge of and enthusiasm for mainline development, CI/CD and high-quality software

· That writes clean code in a testable, reliable, and sustainable way

Blackline Safety offers:

· A world-class team of senior developers and software professionals to act as mentors as you develop your professional skills

· A unique and fun place to work with flexible hours

· Interesting products to work on and an entrepreneurial environment

· Exposure to a wide variety of modern web technologies

· Supportive (yet challenging), collaborative work environment

· Competitive salary and vacation compensation

· Medical, dental and drug benefits

· Company savings plan with matching contributions

Join our team to build the future and save lives!

Reference ID: BLJMFS004

Application deadline: 2020-09-08

Job Types: Full-time, Permanent

Schedule:
Monday to Friday
Experience:
software development: 5 years (Required)
Clean and testable code: 5 years (Required)
Docker, Linux, and familiarity with AWS: 5 years (Required)
Work remotely:
No",4.1,"Blackline Safety
4.1",Calgary,-1,51 to 200 Employees,2004,Company - Public,-1,-1,$5 to $10 million (USD),-1,0,0,77,91,84.0,"Blackline Safety
",Calgary,16,1,0,0,1,0,0
Software Developer (Legacy Game Titles),CA$77K-CA$91K (Glassdoor est.),"Beamdog, the company behind the Baldur's Gate, Icewind Dale, Planescape: Torment, and Neverwinter Nights Enhanced Editions, is looking for Software Developer (Legacy Game Titles) to help us develop and maintain our existing titles and live services!
As a member of the Live Ops team, you will work with existing games and services and the developers that created them, to maintain and improve our titles by programming, optimizing, offering analysis, and problem-solving live issues.
With your experience in game development, you will champion excellence in live operations, development, and best practices on the team.
Responsibilities
Maintain existing Beamdog online services
Assist with maintaining existing legacy games
Develop and monitor our Continuous Integration (CI) services
Identify and recommend solutions to technical problems in implementations
Build the next generation of Beamdog online solutions
Assist your team in keeping technical documentation well maintained
Core Skills
3+ years experience building games; minimum 1 shipped game title
Knowledge of modern C++ and best practices
Experience developing in Windows, Mac, Android, and iOS
Experience with other programming languages such as C#, Go, etc.
Experience with AWS services such as ECS, RDS, Cloudfront, S3, etc.
Effective in creative and dynamic team environments that iterate quickly on ideas
Proven track record of delivering professional-quality work
Preferred
Experience working in an agile development environment
Familiarity with web development and common frameworks
Docker experience
Knowledge of security practices, e.g., SSO, 2-factor authentication
Source control experience with Git and SVN
About Us
Beamdog is a fantastic place to work with a friendly and creative atmosphere. Located in Edmonton, Alberta, we're a hardworking team of passionate game developers who love the games we work on. Since 2009, we’ve brought enhanced versions of classic Dungeons & Dragons games and exciting original content to fans new and old. We’re best known for bringing beloved isometric roleplaying games like Baldur’s Gate™ and Planescape: Torment™ back to life on desktop and tablets as Enhanced Editions. We love rich stories where players can chose their own journey and the communities that spring up around them. If you’re excited about storytelling games, Dungeons & Dragons, and classic RPGs, stick around! You haven’t seen anything yet!
We offer the following perks:
Vision, dental, and health benefits, plus extended healthcare coverage
RRSP matching program
Generous time off for vacation, sick days, and personal days
Transit passes & heated underground parking
Fully-paid gym memberships
Lunch and Learns
Flexible working hours
Casual dress code
Diversity is fundamentally about valuing human differences and recognizing that a diverse group of people bring with them a diverse set of skills which is necessary to propel our company forward. Beamdog is an equal opportunity employer. We welcome applications from all qualified persons. We do not discriminate based on race, ethnicity, colour, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.",3.0,"Beamdog
3.0",Edmonton,-1,51 to 200 Employees,2009,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,0,77,91,84.0,"Beamdog
",Edmonton,11,0,0,0,1,0,0
Ruby on Rails Developer,CA$77K-CA$91K (Glassdoor est.),"ABOUT US*
EnergyX is more than just a tech company, we are on a mission to deliver the next generation of energy efficiency programs. Buildings and their construction account for 39 percent of energy-related carbon dioxide emissions annually, and we recognize the necessity of creating modern tools to solve this problem. We use innovative AI technology to empower homes and businesses to lower their energy usage, save money and reduce their carbon footprint. Our award-winning technology is licensed to utilities, energy retailers and governments across North America as a SaaS enterprise solution. We seek exceptional talent that is eager to do the best work of their life while supporting others in doing the same.
The Role*
We're looking for software engineers with Ruby on Rails and web development experience to help us build out our SaaS energy management platform platform.
Job Responsibilities: *
\* Building and maintaining new features and functionality.

\* Building and maintaining automated tests for calculations

\* Customizing the platform for partners.

\* Communicating with engineering leadership about requirements.
Requirements: *
\* Self-starter attitude and good communication.

\* Experience and understanding working with OOP and MVC systems.

\* 2+ years of Experience working in Ruby, SQL, HTML, CSS and Javascript (jQuery, etc).

\* 2-5 years of experience in web application development and/or have Saas experience.
""Nice to haves"": *
\* You have experience with Bootstrap, PostgreSQL and AWS.

\* You’ve worked with PHP or in MVC systems before.
Job Types: Full-time, Permanent
Reference ID: RoR Halifax

Job Type: Permanent

Salary: $65,000.00-$85,000.00 per year

Benefits:
Casual dress
Company events
Dental care
Extended health care
Paid time off
Vision care
Work from home
Schedule:
Monday to Friday
Experience:
Ruby on Rails: 2 years (Required)
Location:
Halifax, NS (Required)
Work remotely:
Temporarily due to COVID-19",5.0,"energyX Solutions
5.0",Halifax,-1,1 to 50 Employees,2016,Unknown,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1,0,0,77,91,84.0,"energyX Solutions
",Halifax,4,0,1,1,1,0,1
JavaScript Developer,CA$77K-CA$91K (Glassdoor est.),"Axonify believes frontline employees deserve to perform their best at work every day. So we focus 100% of our efforts on making that happen with an irresistible learning solution that actually works. If you enjoy creating software people love to use, then this role may be perfect for you!

In this JavaScript Developer role, you will collaborate with the team to create new features and products that our customers will love. We are looking for skilled developers who are focused on quality and excited by the idea of millions of people using their creations.

WHATS GREAT ABOUT DEVELOPING AT AXONIFY:
Make a difference: Regular releases gets your code into the users hands as soon as its ready.
Quality Matters: Well-designed software lasts longer. The development culture is more about do it right instead of do it fast.
YOULL BE SUCCESSFUL AT:
Working collaboratively with the entire development team.
Driving innovation, design, development, testing and support to all your work.
Working on new features from the concept stage to the release and support stage.
BECAUSE YOU BRING:
Degree or Diploma in Computer Science, Engineering or similar technical field.
Experience with HTML5 technologies (HTML, CSS, JavaScript ES2015 etc.) in a cross-browser and cross-platform environment (mobile and desktop).
Excellent understanding of common JavaScript design patterns and OO designs within RESTful single page apps.
Advocate for implementing unit and functional tests.
Experience with JavaScript frameworks is an asset Bonus points for Backbone and Marionette.
Ability to handle multiple tasks and prioritizing them appropriately.
Detail-oriented, highly enthusiastic team player, with a positive attitude.
Personal drive for the highest quality.
Passion for JavaScript and it is your language of choice.
IF YOU ENJOY:
Learning from the best. Our leaders support us, develop us and help us become our best. Our open door and transparent culture nurtures everyone to build their career and develop their skills.
Working in a modern workplace. We are fast-paced, constantly evolving, and flexible to change. We love our work, but we also love our lives outside of work and Axonify supports this balance.
Collaborating. We believe our ideas are better together and we encourage trust, respect and authenticity to support each other. The Axoni-fam collectively celebrates successes and learns from each other to be even better.
Being Bold. If you like to challenge convention and be tenacious in the face of uncertainty, Axonify is the place to balance never giving up but respecting when to let go.
Getting It Done. We work hard through perseverance and taking ownership, but because of our phenomenal positive attitude, we ALWAYS have fun along the way.
WHO WE ARE:

We believe that a great attitude leads to great results, and are looking for people who are bold, tenacious, like to have fun and get it done. Weve been recognized as a Great Place to Work and were proud of the numerous awards won for workplace culture and technology innovation. We designed our fun, fast, personalized frontline learning experience to make sure critical information sticks. Because when learning actually works, it changes the game for everyone.

HOW TO APPLY:

Are you ready to start your career with us? Apply today so we can connect with you to learn more.

We're here to Help:

Axonify strives to create an accessible and inclusive application and selection process and is committed to working with and providing reasonable accommodation to job applicants who may have accessibility requirements. Should you require an accommodation please contact accessibility@axonify.com. Information received related to accommodation needs will be addressed confidentially.

Powered by JazzHR",4.4,"Axonify
4.4",Waterloo,-1,51 to 200 Employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,91,84.0,"Axonify
",Waterloo,9,0,1,1,0,0,0
